,Image,StyleLoss,name,index
184,"00024-25-(lineart art style_1.3),1girl,white background,portrait.png",-1.4471128461171818,AWPainting 1.1_v1.1.safetensors-Style-5,5
185,"00025-26-(lineart art style_1.3),1girl,white background,portrait.png",-1.8261296130532623,AWPainting 1.1_v1.1.safetensors-Style-5,5
186,"00026-27-(lineart art style_1.3),1girl,white background,portrait.png",-1.1818881281142957,AWPainting 1.1_v1.1.safetensors-Style-5,5
187,"00027-28-(lineart art style_1.3),1girl,white background,portrait.png",-0.9595788399886097,AWPainting 1.1_v1.1.safetensors-Style-5,5
188,"00028-29-(lineart art style_1.3),1girl,white background,portrait.png",-1.0721523270745095,AWPainting 1.1_v1.1.safetensors-Style-5,5
189,"00029-30-(lineart art style_1.3),1girl,white background,portrait.png",-1.9432378725871617,AWPainting 1.1_v1.1.safetensors-Style-5,5
190,"00030-31-(lineart art style_1.3),1girl,white background,portrait.png",-1.845450367788594,AWPainting 1.1_v1.1.safetensors-Style-5,5
191,"00031-32-(lineart art style_1.3),1girl,white background,portrait.png",-1.3906536967901844,AWPainting 1.1_v1.1.safetensors-Style-5,5
448,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",0.061281425458041015,dreamshaper_7.safetensors-Style-5,5
449,"00001-2-(lineart art style_1.3),1girl,white background,portrait.png",0.757092045710555,dreamshaper_7.safetensors-Style-5,5
450,"00002-3-(lineart art style_1.3),1girl,white background,portrait.png",0.6627438392960181,dreamshaper_7.safetensors-Style-5,5
451,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",-1.4097208911723813,dreamshaper_7.safetensors-Style-5,5
452,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",0.24339191811622476,dreamshaper_7.safetensors-Style-5,5
453,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",1.0343967788385844,dreamshaper_7.safetensors-Style-5,5
454,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",0.7951302430510488,dreamshaper_7.safetensors-Style-5,5
455,"00007-8-(lineart art style_1.3),1girl,white background,portrait.png",0.14656661586060857,dreamshaper_7.safetensors-Style-5,5
456,"00008-9-(lineart art style_1.3),1girl,white background,portrait.png",-0.9560123725179455,dreamshaper_7.safetensors-Style-5,5
457,"00009-10-(lineart art style_1.3),1girl,white background,portrait.png",-0.9086387209075478,dreamshaper_7.safetensors-Style-5,5
458,"00010-11-(lineart art style_1.3),1girl,white background,portrait.png",-0.3282950546021392,dreamshaper_7.safetensors-Style-5,5
459,"00011-12-(lineart art style_1.3),1girl,white background,portrait.png",-0.690248426955433,dreamshaper_7.safetensors-Style-5,5
460,"00012-13-(lineart art style_1.3),1girl,white background,portrait.png",-0.9985819697504303,dreamshaper_7.safetensors-Style-5,5
461,"00013-14-(lineart art style_1.3),1girl,white background,portrait.png",0.5177679632460077,dreamshaper_7.safetensors-Style-5,5
462,"00014-15-(lineart art style_1.3),1girl,white background,portrait.png",0.4926398142147037,dreamshaper_7.safetensors-Style-5,5
463,"00015-16-(lineart art style_1.3),1girl,white background,portrait.png",0.8251976760458603,dreamshaper_7.safetensors-Style-5,5
464,"00016-17-(lineart art style_1.3),1girl,white background,portrait.png",0.2911711533725825,dreamshaper_7.safetensors-Style-5,5
465,"00017-18-(lineart art style_1.3),1girl,white background,portrait.png",-1.2588221250480607,dreamshaper_7.safetensors-Style-5,5
466,"00018-19-(lineart art style_1.3),1girl,white background,portrait.png",0.517921431061928,dreamshaper_7.safetensors-Style-5,5
467,"00019-20-(lineart art style_1.3),1girl,white background,portrait.png",0.808581287784956,dreamshaper_7.safetensors-Style-5,5
468,"00020-21-(lineart art style_1.3),1girl,white background,portrait.png",0.6144289021975365,dreamshaper_7.safetensors-Style-5,5
469,"00021-22-(lineart art style_1.3),1girl,white background,portrait.png",-0.746792082385366,dreamshaper_7.safetensors-Style-5,5
470,"00022-23-(lineart art style_1.3),1girl,white background,portrait.png",0.8514253744381111,dreamshaper_7.safetensors-Style-5,5
471,"00023-24-(lineart art style_1.3),1girl,white background,portrait.png",0.21486772530839782,dreamshaper_7.safetensors-Style-5,5
472,"00024-25-(lineart art style_1.3),1girl,white background,portrait.png",-0.5769193251520515,dreamshaper_7.safetensors-Style-5,5
473,"00025-26-(lineart art style_1.3),1girl,white background,portrait.png",-0.41106420710325886,dreamshaper_7.safetensors-Style-5,5
474,"00026-27-(lineart art style_1.3),1girl,white background,portrait.png",0.7609992014016715,dreamshaper_7.safetensors-Style-5,5
475,"00027-28-(lineart art style_1.3),1girl,white background,portrait.png",-1.6706595589791253,dreamshaper_7.safetensors-Style-5,5
476,"00028-29-(lineart art style_1.3),1girl,white background,portrait.png",0.951489129306687,dreamshaper_7.safetensors-Style-5,5
477,"00029-30-(lineart art style_1.3),1girl,white background,portrait.png",-0.9788720286583812,dreamshaper_7.safetensors-Style-5,5
478,"00030-31-(lineart art style_1.3),1girl,white background,portrait.png",-1.1827446432207893,dreamshaper_7.safetensors-Style-5,5
479,"00031-32-(lineart art style_1.3),1girl,white background,portrait.png",-0.881031223660272,dreamshaper_7.safetensors-Style-5,5
736,"00000-1-(lineart art style_1.3),1girl,white background,portrait.png",-1.3022856568419798,GhostMix-V2.0-fp16-NoVAE-Style-5,5
737,"00001-2-(lineart art style_1.3),1girl,white background,portrait.png",-0.2098619331385149,GhostMix-V2.0-fp16-NoVAE-Style-5,5
738,"00002-3-(lineart art style_1.3),1girl,white background,portrait.png",-0.8300912487312053,GhostMix-V2.0-fp16-NoVAE-Style-5,5
739,"00003-4-(lineart art style_1.3),1girl,white background,portrait.png",-1.2840312935059601,GhostMix-V2.0-fp16-NoVAE-Style-5,5
740,"00004-5-(lineart art style_1.3),1girl,white background,portrait.png",-0.9209372043849486,GhostMix-V2.0-fp16-NoVAE-Style-5,5
741,"00005-6-(lineart art style_1.3),1girl,white background,portrait.png",-0.7179755403255234,GhostMix-V2.0-fp16-NoVAE-Style-5,5
742,"00006-7-(lineart art style_1.3),1girl,white background,portrait.png",0.5679872562906497,GhostMix-V2.0-fp16-NoVAE-Style-5,5
743,"00007-8-(lineart art style_1.3),1girl,white background,portrait.png",-1.6301113270670733,GhostMix-V2.0-fp16-NoVAE-Style-5,5
744,"00008-9-(lineart art style_1.3),1girl,white background,portrait.png",-0.3445562223197625,GhostMix-V2.0-fp16-NoVAE-Style-5,5
745,"00009-10-(lineart art style_1.3),1girl,white background,portrait.png",0.24164161860662428,GhostMix-V2.0-fp16-NoVAE-Style-5,5
746,"00010-11-(lineart art style_1.3),1girl,white background,portrait.png",-1.21520709851863,GhostMix-V2.0-fp16-NoVAE-Style-5,5
747,"00011-12-(lineart art style_1.3),1girl,white background,portrait.png",4.121733890149324,GhostMix-V2.0-fp16-NoVAE-Style-5,5
748,"00012-13-(lineart art style_1.3),1girl,white background,portrait.png",-1.564426945688088,GhostMix-V2.0-fp16-NoVAE-Style-5,5
