,Unnamed: 0,count_LAIONScore,mean_LAIONScore,std_LAIONScore,min_LAIONScore,25%_LAIONScore,50%_LAIONScore,75%_LAIONScore,max_LAIONScore,skew_LAIONScore,kurtosis_LAIONScore,RatingScore_mean,RatingScore_std,Clipscore_mean,Clipscore_std,Artifact_mean,Artifact_std,name
47,LAIONScore,32.0,6.489937499,0.484367923,5.587360859,6.028140306,6.565777302,6.907506347,7.267990589,-0.268135567,-1.185688147,6.552799806,0.70169472,0.274177551,0.025815615,1.831963778,0.384278444,GhostMix-V2.0-fp16-NoVAE-24
48,LAIONScore,32.0,7.052416354,0.152102796,6.812349796,6.925185204,7.007733583,7.159147859,7.331412315,0.408320054,-1.090213094,7.859090686,0.617357577,0.317642212,0.016993215,1.946960475,0.391269829,GhostMix-V2.0-fp16-NoVAE-25
49,LAIONScore,32.0,6.88036032,0.145474251,6.620031834,6.757950425,6.894151211,6.992020965,7.104176044,-0.199951328,-1.118686586,7.247396529,0.665987468,0.254764557,0.017562501,2.527314041,0.359433252,GhostMix-V2.0-fp16-NoVAE-26
50,LAIONScore,32.0,6.927803099,0.150327771,6.428955078,6.840970993,6.932001352,6.993783116,7.223265171,-0.682658079,2.317842171,7.736017764,0.730629974,0.268474579,0.010056438,2.078080561,0.387714803,GhostMix-V2.0-fp16-NoVAE-27
51,LAIONScore,32.0,6.901619375,0.128338112,6.634004593,6.814000964,6.935646534,7.015484095,7.09262991,-0.392879469,-0.970568207,7.84866868,0.500973585,0.329986572,0.016716921,1.910773356,0.252006696,GhostMix-V2.0-fp16-NoVAE-28
52,LAIONScore,32.0,7.186486542,0.24111998,6.657803535,7.107197046,7.187887669,7.303493857,7.783842564,-0.140923481,0.296899024,7.229167074,0.62876188,0.261955261,0.013303317,2.017410867,0.365578406,GhostMix-V2.0-fp16-NoVAE-29
53,LAIONScore,32.0,6.5209333,0.21428504,6.136086941,6.34503901,6.488807678,6.66719985,6.948609352,0.150789853,-0.998513146,6.224444687,0.66328163,0.181655884,0.019373104,2.709978502,0.31227038,GhostMix-V2.0-fp16-NoVAE-3
54,LAIONScore,32.0,5.701555878,0.198087117,5.41212368,5.54851532,5.681535482,5.812059522,6.209514141,0.669125235,-0.016085132,6.652173012,0.511812582,0.23109436,0.015291857,1.667233218,0.223412534,GhostMix-V2.0-fp16-NoVAE-4
55,LAIONScore,32.0,6.508988798,0.376060748,5.312509537,6.354208946,6.602838039,6.74537468,7.241406441,-1.151020497,1.974961982,6.772827908,0.702683007,0.286029816,0.034053134,2.286057439,0.510555773,GhostMix-V2.0-fp16-NoVAE-5
56,LAIONScore,32.0,7.037734687,0.137366773,6.757193089,6.952087879,7.030170918,7.142241001,7.305578232,-0.085570107,-0.569064191,8.606604978,0.396220942,0.28993988,0.008938652,1.702027839,0.212848415,GhostMix-V2.0-fp16-NoVAE-6
57,LAIONScore,32.0,6.966274887,0.132869873,6.718471527,6.900266171,6.959162235,7.002146602,7.313160896,0.655174377,0.971698744,8.029199198,0.506458905,0.3019104,0.013851989,1.770822175,0.246195252,GhostMix-V2.0-fp16-NoVAE-7
58,LAIONScore,32.0,6.804131657,0.169117177,6.370446682,6.735289574,6.778896809,6.858838916,7.144935131,0.002656369,0.423199201,7.223804682,0.332656488,0.316047668,0.013067652,2.531675331,0.191728566,GhostMix-V2.0-fp16-NoVAE-8
59,LAIONScore,32.0,6.904049188,0.332635221,6.084733963,6.769274473,6.943733215,7.086042166,7.444775581,-0.724210923,0.482380777,6.495919839,0.631855655,0.325889587,0.023582969,2.412216999,0.290790692,GhostMix-V2.0-fp16-NoVAE-9
60,LAIONScore,32.0,7.012120903,0.141517762,6.715289116,6.941524148,7.00278616,7.09881258,7.34326458,0.426294811,0.141396681,7.898809955,0.240819335,0.31476593,0.008653493,2.021431457,0.1831278,lyriel_v14.safetensors-0
61,LAIONScore,32.0,7.07486698,0.154541069,6.769207954,7.020470619,7.069798708,7.1381706,7.572927475,0.612713954,1.988756681,6.887251183,0.406042952,0.344314575,0.009943381,2.2516817,0.170960528,lyriel_v14.safetensors-1
62,LAIONScore,32.0,6.566350788,0.134557417,6.293593407,6.458784461,6.577430725,6.659412026,6.859728813,-0.170638367,-0.381934003,7.340114892,0.293869791,0.310768127,0.009468982,2.723381035,0.151855467,lyriel_v14.safetensors-10
63,LAIONScore,32.0,6.208670259,0.158221917,5.741495132,6.107631445,6.234174728,6.288915038,6.621694565,-0.34489981,1.665702015,5.806587875,0.482318672,0.241378784,0.010562819,2.64854994,0.269021819,lyriel_v14.safetensors-11
64,LAIONScore,32.0,6.866020992,0.154828129,6.610109329,6.747576594,6.874446154,6.939305186,7.267108917,0.379010673,-0.130259822,9.13948755,0.678781236,0.260890961,0.020829622,0.608967382,0.409546354,lyriel_v14.safetensors-12
65,LAIONScore,32.0,7.182423472,0.144089877,6.877179623,7.101391315,7.187181234,7.286661863,7.442854881,-0.349658969,-0.382194893,8.062236965,0.461797324,0.282367706,0.01468955,1.743575282,0.293241758,lyriel_v14.safetensors-13
66,LAIONScore,32.0,6.481740981,0.469755354,5.547911644,6.070773721,6.385708094,6.914969206,7.28834486,0.118826904,-1.19106661,7.235918716,0.700708431,0.27413559,0.025080664,1.517349414,0.414135052,lyriel_v14.safetensors-14
67,LAIONScore,32.0,6.702385977,0.184146934,6.343977928,6.585999846,6.715439558,6.824481368,7.020869255,-0.174918817,-0.621633338,7.133955151,0.431936145,0.265411377,0.01062621,2.028655108,0.239639797,lyriel_v14.safetensors-15
68,LAIONScore,32.0,6.833110347,0.229831018,6.11267662,6.702079535,6.889972925,6.986019254,7.161074638,-0.965304859,1.189979233,7.10893327,0.637058027,0.311660767,0.01597139,2.135894515,0.316967417,lyriel_v14.safetensors-16
69,LAIONScore,32.0,7.193646148,0.126683517,6.84147644,7.122764111,7.19039464,7.306766987,7.428388596,-0.530532057,0.255404447,6.893664941,0.339853511,0.344291687,0.011859012,1.998656727,0.160740013,lyriel_v14.safetensors-17
70,LAIONScore,32.0,7.080053613,0.115543853,6.860045433,6.993981957,7.088759184,7.170858979,7.286595345,-0.09864479,-0.94247595,8.538029686,0.411547196,0.342658997,0.008136924,1.70508885,0.203043203,lyriel_v14.safetensors-18
71,LAIONScore,32.0,6.934234023,0.322849953,5.922085762,6.790584564,6.938024044,7.177456141,7.427052498,-0.929080594,1.258380963,6.91831705,1.196538705,0.291252136,0.024903446,1.89261747,0.547598896,lyriel_v14.safetensors-19
72,LAIONScore,32.0,6.924626499,0.167707177,6.643701553,6.795088291,6.899633169,7.06218791,7.325520515,0.315224658,-0.690164502,7.713931233,0.278148657,0.243759155,0.010919484,1.758320257,0.175189715,lyriel_v14.safetensors-2
73,LAIONScore,32.0,7.15963085,0.201992887,6.819057465,7.06739831,7.180929661,7.275514007,7.587509632,0.160340048,-0.474068143,8.099902838,0.349494435,0.292724609,0.012576353,1.807030421,0.218397919,lyriel_v14.safetensors-20
74,LAIONScore,32.0,6.987062588,0.205690309,6.48884964,6.919508934,7.024219275,7.112583756,7.297657013,-0.860263638,0.247371689,8.140648261,0.324641122,0.298538208,0.012833567,1.686930891,0.222626456,lyriel_v14.safetensors-21
75,LAIONScore,32.0,6.810554594,0.238485205,6.384776115,6.613321304,6.817890167,6.981082559,7.337583542,0.156954972,-0.765926149,8.662373111,0.599918937,0.286289215,0.017628392,0.978286576,0.423695063,lyriel_v14.safetensors-22
76,LAIONScore,32.0,5.638344228,0.340300318,4.84396553,5.373711228,5.689698458,5.862812042,6.20411396,-0.230152508,-0.594300957,4.661873676,0.796407523,0.218288422,0.029773174,2.42471537,0.520327454,lyriel_v14.safetensors-23
77,LAIONScore,32.0,7.090287149,0.144879464,6.796765327,7.020601511,7.111332893,7.19735384,7.363287926,-0.398682838,-0.308557369,7.367765933,0.294172098,0.291809082,0.016514719,1.864480335,0.170265659,lyriel_v14.safetensors-24
78,LAIONScore,32.0,6.724950388,0.238340189,6.288286209,6.532909036,6.716199875,6.874136686,7.18283844,0.271399402,-0.663010368,8.042506039,0.453965911,0.344856262,0.013200112,1.756521098,0.275410908,lyriel_v14.safetensors-25
79,LAIONScore,32.0,7.073766559,0.222010916,6.721547127,6.900725245,7.049015284,7.228193521,7.504785538,0.298361421,-0.786053446,8.010834336,0.433420874,0.295295715,0.015561569,1.952135481,0.222506559,lyriel_v14.safetensors-26
80,LAIONScore,32.0,7.145136625,0.228027411,6.592744827,7.033202171,7.221125364,7.301293612,7.462521076,-0.889952524,-0.218134958,8.377256751,0.537098324,0.278862,0.009022626,1.686829053,0.357104419,lyriel_v14.safetensors-27
81,LAIONScore,32.0,6.917621404,0.120716161,6.674767017,6.823350906,6.9211514,7.016388059,7.132264137,-0.13258508,-0.867470935,8.095403999,0.460138916,0.346733093,0.010133442,1.758063566,0.240032311,lyriel_v14.safetensors-28
