,count_LoRALoss,mean_LoRALoss,std_LoRALoss,min_LoRALoss,25%_LoRALoss,50%_LoRALoss,75%_LoRALoss,max_LoRALoss,name,index
StyleLoss,20.0,6109835097.6,1265316925.8789284,4084715264.0,5245262336.0,5923397376.0,7242292480.0,8501972992.0,lyriel_v14.safetensors-LoRA-0,0
StyleLoss,20.0,4095199232.0,2122468844.3025515,1473622016.0,2355961856.0,3480590336.0,6083485696.0,8159296000.0,lyriel_v14.safetensors-LoRA-1,1
StyleLoss,20.0,27778280345.6,8286556037.729507,8564167680.0,23008282112.0,28604127232.0,34173470720.0,39461724160.0,lyriel_v14.safetensors-LoRA-10,10
StyleLoss,20.0,1805707769.6,766044643.1336337,986500224.0,1373102816.0,1581820864.0,1888888704.0,4402164224.0,lyriel_v14.safetensors-LoRA-11,11
StyleLoss,20.0,2056656217.6,465450136.72015285,1307323648.0,1858391840.0,1985329920.0,2259624768.0,3608477696.0,lyriel_v14.safetensors-LoRA-12,12
StyleLoss,20.0,734832188.8,160176340.65339792,458116928.0,631767968.0,699710976.0,840352592.0,1110562944.0,lyriel_v14.safetensors-LoRA-13,13
StyleLoss,20.0,1230290646.4,636051439.0491208,647002816.0,869708624.0,1037394528.0,1351975040.0,3417798912.0,lyriel_v14.safetensors-LoRA-14,14
StyleLoss,20.0,11233619609.6,1265043117.6907563,9382230016.0,10349697536.0,11043254272.0,11932334336.0,14208901120.0,lyriel_v14.safetensors-LoRA-15,15
StyleLoss,20.0,1437538006.4,628921254.4304056,680228800.0,1046191072.0,1234385536.0,1768738912.0,3203962880.0,lyriel_v14.safetensors-LoRA-2,2
StyleLoss,20.0,18157046425.6,5049020572.871619,8584540160.0,14013174784.0,17337974784.0,23066503168.0,25461270528.0,lyriel_v14.safetensors-LoRA-3,3
StyleLoss,20.0,467438619.2,175081301.15548822,196073296.0,360889728.0,474582704.0,551158720.0,840301504.0,lyriel_v14.safetensors-LoRA-4,4
StyleLoss,20.0,1677768608.0,327265027.92147106,1220155264.0,1469467904.0,1621117952.0,1817247392.0,2558618368.0,lyriel_v14.safetensors-LoRA-5,5
StyleLoss,20.0,3023555680.0,1112758029.2641296,1785827328.0,2255793920.0,2490039296.0,3513765952.0,6128410112.0,lyriel_v14.safetensors-LoRA-6,6
StyleLoss,20.0,9982698752.0,1081463702.6193578,8518627328.0,9357211392.0,9798460416.0,10469491712.0,12694258688.0,lyriel_v14.safetensors-LoRA-7,7
StyleLoss,20.0,372091832.0,65998169.81657988,271601856.0,318175696.0,377549216.0,393891128.0,574928704.0,lyriel_v14.safetensors-LoRA-8,8
StyleLoss,20.0,2071444985.6,363604172.6086439,1308172800.0,1834251904.0,2092268096.0,2212037376.0,2970401792.0,lyriel_v14.safetensors-LoRA-9,9
StyleLoss,20.0,3299514694.4,1213390341.4083204,1131788032.0,2342444544.0,3092695424.0,3999852032.0,5278050304.0,majicmixRealistic_v6.safetensors-LoRA-0,0
StyleLoss,20.0,4597199590.4,1564638491.9236479,2652619008.0,3404981056.0,4308218624.0,5721551616.0,8385512448.0,majicmixRealistic_v6.safetensors-LoRA-1,1
